Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,221,0.00,0.00,0.000000,6,0.00,0.00,0.000000,215,0,0.000000,0.000000,2.71,0.00
0.200000,188,0.00,0.00,0.000000,6,0.00,0.00,0.000000,182,0,0.000000,0.000000,3.19,0.00
0.300000,188,0.00,0.00,0.000000,6,0.00,0.00,0.000000,182,0,0.000000,0.000000,3.19,0.00
0.400000,174,0.00,0.00,0.000000,5,0.00,0.00,0.000000,169,0,0.000000,0.000000,2.87,0.00
0.500000,174,0.00,0.00,0.000000,5,0.00,0.00,0.000000,169,0,0.000000,0.000000,2.87,0.00
0.600000,173,0.00,0.00,0.000000,5,0.00,0.00,0.000000,168,0,0.000000,0.000000,2.89,0.00
0.700000,160,0.00,0.00,0.000000,5,0.00,0.00,0.000000,155,0,0.000000,0.000000,3.12,0.00
0.800000,160,0.00,0.00,0.000000,5,0.00,0.00,0.000000,155,0,0.000000,0.000000,3.12,0.00
0.900000,129,0.00,0.00,0.000000,5,0.00,0.00,0.000000,124,0,0.000000,0.000000,3.88,0.00
1.000000,122,0.00,0.00,0.000000,5,0.00,0.00,0.000000,117,0,0.000000,0.000000,4.10,0.00
